,gameID,event_date,loc,result,FLA_goals,FLA_pim,FLA_shots,FLA_powerPlayPercentage,FLA_powerPlayGoals,FLA_powerPlayOpportunities,FLA_faceOffWinPercentage,FLA_blocked,FLA_takeaways,FLA_giveaways,FLA_hits,OPP_goals,OPP_pim,OPP_shots,OPP_powerPlayPercentage,OPP_powerPlayGoals,OPP_powerPlayOpportunities,OPP_faceOffWinPercentage,OPP_blocked,OPP_takeaways,OPP_giveaways,OPP_hits
754,2019020809,2020-02-04T00:00:00Z,away,W,5,6,21,50,1,2,44.2,11,13,4,30,3,4,34,33.3,1,3,55.8,10,8,16,10
755,2019020818,2020-02-05T00:00:00Z,away,OTL,0,2,32,0,0,2,55,14,2,2,15,1,4,45,0,0,1,45,14,5,6,12
756,2019020830,2020-02-07T00:00:00Z,home,L,2,12,25,33.3,1,3,53.4,10,10,20,16,7,8,39,20,1,5,46.6,10,5,12,22
757,2019020847,2020-02-09T00:00:00Z,home,L,2,2,35,0,0,3,61.2,9,7,14,32,3,6,22,100,1,1,38.8,12,5,5,25
758,2019020861,2020-02-11T00:00:00Z,away,L,1,10,31,0,0,5,44.8,12,5,10,22,4,10,34,0,0,5,55.2,12,9,8,32
759,2019020868,2020-02-12T00:00:00Z,away,W,5,4,33,0,0,2,61,11,11,3,12,3,4,28,50,1,2,39,18,8,16,12
760,2019020883,2020-02-14T00:00:00Z,home,L,2,8,28,0,0,1,39.3,8,13,9,22,6,4,28,33.3,1,3,60.7,12,7,5,15
761,2019020898,2020-02-15T21:00:00Z,home,L,1,12,34,0,0,3,58.2,6,9,16,20,4,16,29,0,0,1,41.8,17,8,9,8
762,2019020917,2020-02-17T21:00:00Z,away,W,5,8,28,0,0,4,35,20,9,4,11,3,8,32,25,1,4,65,13,10,9,13
763,2019020931,2020-02-20T03:00:00Z,away,W,4,4,32,0,0,1,50,9,6,9,16,1,4,36,0,0,1,50,17,4,14,23
764,2019020940,2020-02-21T03:30:00Z,away,L,4,12,29,50,2,4,34.9,13,2,7,23,5,10,40,20,1,5,65.1,4,2,21,17
765,2019020957,2020-02-23T03:00:00Z,away,L,3,6,35,33.3,1,3,52.1,18,7,3,15,5,8,39,0,0,2,47.9,15,11,4,23
766,2019020979,2020-02-26T02:00:00Z,away,W,2,0,26,50,1,2,56.7,12,3,3,25,1,4,38,0,0,0,43.3,16,8,9,21
767,2019020987,2020-02-28T00:00:00Z,home,L,3,7,27,0,0,1,54.8,13,9,16,19,5,7,29,0,0,1,45.2,16,5,17,16
768,2019021002,2020-02-29T23:00:00Z,home,OTL,2,6,40,0,0,3,52.5,14,13,15,11,2,6,29,0,0,3,47.5,9,5,12,12
769,2019021012,2020-03-01T21:00:00Z,home,L,0,2,38,0,0,3,51,16,17,23,21,3,6,28,100,1,1,49,10,7,13,14
770,2019021035,2020-03-06T00:00:00Z,home,OTL,1,15,33,0,0,4,47.6,14,13,15,24,2,13,28,25,1,4,52.4,14,10,14,22
771,2019021054,2020-03-08T00:00:00Z,home,W,4,6,32,0,0,3,59.3,15,13,16,20,1,6,34,0,0,3,40.7,13,10,9,26
772,2019021075,2020-03-10T00:00:00Z,away,W,2,4,34,100,1,1,47.7,23,13,6,11,1,2,27,0,0,2,52.3,15,8,10,6
773,2020020034,2021-01-18T00:00:00Z,home,W,5,6,36,25,1,4,53.3,14,14,25,30,2,8,30,33.3,1,3,46.7,8,6,14,24
774,2020020049,2021-01-20T00:00:00Z,home,W,5,4,30,50,2,4,45.5,13,9,15,25,4,8,36,100,2,2,54.5,16,8,14,28
775,2020020098,2021-01-27T00:00:00Z,away,W,3,12,31,0,0,3,50,10,3,6,17,3,6,22,0,0,6,50,12,2,8,23
776,2020020114,2021-01-29T00:00:00Z,away,OTL,2,10,35,0,0,1,54.4,10,10,6,18,2,6,31,33.3,1,3,45.6,13,7,9,27
777,2020020130,2021-01-31T00:00:00Z,away,W,3,8,26,66.7,2,3,47.5,8,4,9,19,2,6,27,0,0,4,52.5,12,7,10,14
778,2020020139,2021-01-31T22:00:00Z,away,W,3,8,30,50,2,4,51.8,9,3,5,16,2,10,34,0,0,3,48.2,9,1,2,11
779,2020020165,2021-02-05T00:00:00Z,home,OTL,5,8,36,50,2,4,39.3,14,8,7,21,6,8,41,50,2,4,60.7,10,8,9,20
780,2020020176,2021-02-06T00:00:00Z,home,W,2,4,36,0,0,2,59.7,16,3,11,40,1,6,25,0,0,1,40.3,17,7,4,25
781,2020020189,2021-02-07T20:00:00Z,home,L,1,9,37,0,0,1,50.9,6,12,7,25,4,11,39,0,0,0,49.1,12,8,2,24
782,2020020203,2021-02-10T00:00:00Z,home,W,2,6,22,100,1,1,45.2,10,15,6,35,1,2,32,0,0,3,54.8,8,6,1,28
783,2020020217,2021-02-12T00:00:00Z,home,W,5,13,29,33.3,1,3,60,11,6,5,44,2,13,21,66.7,2,3,40,11,2,9,39
784,2020020232,2021-02-14T00:00:00Z,home,L,1,17,34,0,0,4,48.2,8,9,9,36,6,19,28,33.3,1,3,51.8,12,4,5,25
785,2020020256,2021-02-16T00:00:00Z,away,W,6,18,21,0,0,3,45.3,9,0,0,15,4,16,31,0,0,4,54.7,7,2,1,26
786,2020020062,2021-02-17T22:00:00Z,away,W,4,6,37,25,1,4,40.3,11,11,11,15,3,8,35,33.3,1,3,59.7,10,8,15,18
787,2020020275,2021-02-20T00:00:00Z,away,W,7,8,39,50,1,2,43.1,5,6,1,21,2,4,32,0,0,4,56.9,9,1,10,12
788,2020020292,2021-02-20T22:00:00Z,away,L,1,4,39,33.3,1,3,45.5,9,0,4,9,2,6,27,0,0,2,54.5,17,1,3,13
789,2020020009,2021-02-23T00:00:00Z,home,W,3,7,52,0,0,3,56.1,6,18,6,24,1,11,25,0,0,1,43.9,17,1,4,32
790,2020020303,2021-02-24T22:00:00Z,home,L,0,10,43,0,0,3,49.3,8,9,3,42,3,8,26,0,0,4,50.7,15,6,3,38
791,2020020315,2021-02-26T00:00:00Z,home,W,3,4,35,0,0,1,44.3,11,5,8,30,2,2,39,50,1,2,55.7,7,5,10,33
792,2020020330,2021-02-28T00:00:00Z,home,OTL,3,6,31,25,1,4,47.2,7,11,9,24,3,8,33,66.7,2,3,52.8,7,10,5,19
793,2020020348,2021-03-02T00:00:00Z,home,OTL,2,8,46,0,0,3,49.1,10,14,13,33,3,8,31,33.3,1,3,50.9,10,0,3,20
794,2020020368,2021-03-05T01:00:00Z,away,W,5,4,38,50,2,4,35.8,14,3,11,9,4,8,35,0,0,2,64.2,12,5,12,10
795,2020020381,2021-03-06T19:00:00Z,away,W,6,9,32,25,1,4,46.9,16,6,5,14,2,13,30,50,1,2,53.1,11,5,6,13
796,2020020076,2021-03-07T22:00:00Z,away,L,2,12,23,0,0,5,49.3,14,4,7,21,4,12,26,20,1,5,50.7,12,7,16,26
797,2020020406,2021-03-10T00:00:00Z,away,W,4,6,33,50,2,4,59.6,11,10,6,26,2,8,40,0,0,3,40.4,16,12,10,20
798,2020020420,2021-03-12T00:00:00Z,away,W,5,6,32,33.3,1,3,66,12,4,10,14,4,6,32,33.3,1,3,34,13,4,21,16
799,2020020435,2021-03-14T00:00:00Z,home,W,4,8,35,0,0,2,66.7,5,7,4,17,2,4,32,0,0,4,33.3,9,3,3,15
800,2020020449,2021-03-15T23:00:00Z,home,W,6,10,36,66.7,2,3,61.5,10,6,8,16,3,8,29,0,0,4,38.5,9,2,8,20
801,2020020472,2021-03-18T23:00:00Z,home,L,1,6,41,0,0,3,50,12,8,7,18,2,6,27,0,0,3,50,12,4,5,25
802,2020020487,2021-03-20T18:00:00Z,home,W,2,8,49,0,0,5,48.1,10,5,6,23,0,12,21,0,0,3,51.9,21,4,6,20
803,2020020828,2021-03-21T20:00:00Z,away,L,3,14,32,40,2,5,39.7,13,0,1,20,5,14,24,20,1,5,60.3,10,5,0,22
804,2020020505,2021-03-24T00:00:00Z,away,L,2,6,35,50,1,2,50,16,12,13,42,3,4,32,33.3,1,3,50,19,11,15,24
805,2020020519,2021-03-26T00:00:00Z,away,L,0,21,41,0,0,6,50.9,9,7,9,36,3,17,21,33.3,1,3,49.1,22,11,12,32
806,2020020538,2021-03-28T00:00:00Z,away,W,4,6,28,33.3,1,3,56.1,17,2,5,12,3,6,34,0,0,3,43.9,16,4,13,20
807,2020020547,2021-03-28T22:00:00Z,away,W,4,13,23,25,1,4,47.5,17,2,15,23,1,15,34,33.3,1,3,52.5,12,4,4,29
808,2020020560,2021-03-30T23:00:00Z,home,W,4,8,33,0,0,4,49,11,17,11,29,1,8,36,25,1,4,51,14,5,10,27
809,2020020575,2021-04-01T23:00:00Z,home,W,3,16,36,25,1,4,50,15,6,12,32,2,20,27,0,0,2,50,9,5,8,21
810,2020020590,2021-04-03T23:00:00Z,home,W,5,2,39,0,0,4,52.6,14,9,14,19,2,8,46,0,0,1,47.4,17,15,6,31
811,2020020600,2021-04-04T21:00:00Z,home,W,3,6,35,0,0,1,62.1,18,11,17,17,0,2,32,0,0,3,37.9,15,9,9,29
812,2020020615,2021-04-06T23:00:00Z,away,L,2,8,36,0,0,2,41.9,12,3,14,41,5,4,36,50,2,4,58.1,8,5,20,36
813,2020020629,2021-04-08T23:00:00Z,away,L,0,12,24,0,0,4,58.3,8,4,8,39,3,12,22,25,1,4,41.7,9,5,14,24
814,2020020648,2021-04-10T18:00:00Z,away,L,1,6,21,25,1,4,45.8,7,3,10,26,4,8,20,33.3,1,3,54.2,28,9,6,34
815,2020020670,2021-04-14T00:30:00Z,away,W,3,8,31,25,1,4,41.2,14,5,8,14,2,10,26,0,0,3,58.8,15,2,16,18
816,2020020679,2021-04-15T23:00:00Z,away,OTL,2,4,38,0,0,3,66,11,3,0,26,3,6,19,50,1,2,34,7,7,1,35
817,2020020694,2021-04-17T23:00:00Z,away,W,5,4,32,33.3,1,3,42.6,14,4,2,22,3,6,31,0,0,2,57.4,9,3,4,25
818,2020020707,2021-04-19T23:00:00Z,home,W,4,31,39,0,0,2,62.7,15,17,20,25,2,21,36,0,0,2,37.3,8,10,8,24
819,2020020719,2021-04-20T23:00:00Z,home,W,5,7,33,0,0,2,58.5,7,10,9,27,1,9,34,100,1,1,41.5,6,7,8,29
820,2020020732,2021-04-22T23:00:00Z,home,L,2,15,34,11.1,1,9,54.7,8,9,20,28,4,27,29,33.3,1,3,45.3,24,7,7,18
821,2020020745,2021-04-24T23:00:00Z,home,W,4,10,36,0,0,4,37.5,13,10,11,27,3,8,19,20,1,5,62.5,15,3,9,34
822,2020020758,2021-04-27T00:00:00Z,away,L,1,6,40,0,0,2,45.3,5,3,7,14,4,6,27,50,1,2,54.7,13,10,17,18
823,2020020773,2021-04-28T00:00:00Z,away,W,7,4,55,60,3,5,55.4,4,2,8,13,4,10,30,0,0,2,44.6,13,1,6,17
824,2020020787,2021-04-30T00:00:00Z,away,W,4,4,39,25,1,4,50,11,10,13,40,3,8,27,0,0,2,50,13,9,13,36
825,2020020802,2021-05-02T00:00:00Z,away,W,5,8,42,0,0,1,55.4,13,10,11,27,4,2,35,50,2,4,44.6,18,10,13,31
826,2020020020,2021-05-03T23:00:00Z,home,W,5,9,43,25,1,4,51.7,17,11,14,23,4,23,29,50,1,2,48.3,9,10,12,33
827,2020020857,2021-05-08T23:00:00Z,home,W,5,76,35,16.7,1,6,47.2,7,7,10,38,1,78,29,0,0,5,52.8,11,9,18,36
828,2020020841,2021-05-10T23:00:00Z,home,W,4,19,30,0,0,5,38.6,12,13,23,33,0,19,30,0,0,5,61.4,11,3,9,39
829,2021020010,2021-10-14T23:00:00Z,home,W,5,18,39,0,0,6,54.3,17,11,19,23,4,12,47,22.2,2,9,45.7,11,6,12,22
