id,season,name,position,age,height,weight,timeOnIce,assists,goals,pim,shots,games,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,plusMinus,points,shifts,timeOnIcePerGame,evenTimeOnIcePerGame,shortHandedTimeOnIcePerGame,powerPlayTimeOnIcePerGame,ot,shutouts,wins,losses,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,savePercentage,goalAgainstAverage,gamesStarted,shotsAgainst,goalsAgainst,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage,ties
8470176,20112012,Sean Bergenheim,LW,26,"5' 11""",201,1017:33:00,6,17,48,185,62,109,5,5,104:58:00,835:42:00,48,27.27,9.19,2,0,1,1,76:53:00,21,-5,23,1415,16:24,13:28,1:14,1:41,,,,,,,,,,,,,,,,,,,,
8470729,20112012,Tyson Strachan,D,26,"6' 3""",210,215:12:00,2,1,5,14,15,31,0,0,1:51,210:14:00,5,0,7.14,0,0,0,0,3:07,21,1,3,284,14:20,14:00,0:12,0:07,,,,,,,,,,,,,,,,,,,,
8471234,20112012,Wojtek Wolski,LW,24,"6' 3""",215,426:39:00,8,4,2,50,31,34,0,1,45:52:00,380:46:00,2,50,8,0,0,0,0,0:01,5,-5,12,563,13:45,12:16,0:00,1:28,,,,,,,,,,,,,,,,,,,,
8471266,20112012,David Booth,LW,26,"6' 0""",212,925:41:00,14,16,34,159,62,81,3,8,109:47:00,814:02:00,34,50,10.06,1,0,0,0,1:52,13,-5,30,1285,14:55,13:07,0:01,1:46,,,,,,,,,,,,,,,,,,,,
8471346,20112012,Kris Versteeg,RW,24,"5' 11""",176,1413:36:00,31,23,49,181,71,52,8,18,239:43:00,1128:04:00,49,32.3,12.71,5,1,1,1,45:49:00,19,4,54,1794,19:54,15:53,0:38,3:22,,,,,,,,,,,,,,,,,,,,
8471390,20112012,Mike Santorelli,C,25,"6' 0""",189,744:14:00,2,9,18,117,60,49,2,3,65:45:00,676:22:00,18,45.24,7.69,1,0,0,0,2:07,17,-10,11,1058,12:24,11:16,0:02,1:05,,,,,,,,,,,,,,,,,,,,
8471681,20112012,Jack Skille,RW,23,"6' 1""",216,550:26:00,6,4,28,76,46,99,0,0,11:07,523:48:00,28,50,5.26,1,0,1,1,15:31,16,-9,10,791,11:57,11:23,0:20,0:14,,,,,,,,,,,,,,,,,,,,
8471842,20112012,Tim Kennedy,LW,24,"5' 10""",175,300:36:00,1,1,4,22,27,48,0,0,11:50,284:18:00,4,45.39,4.55,1,0,0,0,4:28,11,-11,2,410,11:08,10:31,0:09,0:26,,,,,,,,,,,,,,,,,,,,
8471996,20112012,Bracken Kearns,C,29,"6' 0""",200,36:11:00,0,0,10,0,5,6,0,0,0:00,36:11:00,10,50,0,0,0,0,0,0:00,1,0,0,48,7:14,7:14,0:00,0:00,,,,,,,,,,,,,,,,,,,,
8472361,20112012,Bill Thomas,RW,27,"6' 1""",185,61:11:00,0,1,0,9,7,10,0,0,0:36,57:47:00,0,0,11.11,0,0,0,0,2:48,1,0,1,89,8:44,8:15,0:24,0:05,,,,,,,,,,,,,,,,,,,,
8473444,20112012,Jon Matsumoto,C,24,"6' 0""",185,5:04,0,0,0,0,1,0,0,0,0:15,4:49,0,100,0,0,0,0,0,0:00,0,0,0,9,5:04,4:49,0:00,0:15,,,,,,,,,,,,,,,,,,,,
8473574,20112012,Shawn Matthias,LW,22,"6' 4""",231,1090:58:00,14,10,49,133,79,60,1,2,47:10:00,955:31:00,49,49.41,7.52,1,0,0,0,88:17:00,38,-2,24,1577,13:48,12:05,1:07,0:35,,,,,,,,,,,,,,,,,,,,
8473646,20112012,Ryan Carter,LW,27,"6' 1""",205,745:27:00,4,4,90,50,72,114,0,0,4:21,676:34:00,90,49.76,8,0,0,0,0,64:32:00,25,-13,8,1089,10:21,9:23,0:53,0:03,,,,,,,,,,,,,,,,,,,,
8473867,20112012,Greg Rallo,C,29,"6' 0""",195,3:31,0,0,0,1,1,0,0,0,0:00,3:31,0,0,0,0,0,0,0,0:00,0,0,0,4,3:31,3:31,0:00,0:00,,,,,,,,,,,,,,,,,,,,
8474149,20112012,Evgenii Dadonov,RW,21,"5' 11""",189,150:44:00,1,2,2,21,15,13,0,0,4:32,145:14:00,2,0,9.52,0,0,0,0,0:58,1,-4,3,229,10:02,9:40,0:03,0:18,,,,,,,,,,,,,,,,,,,,
8474153,20112012,Michal Repik,RW,22,"5' 10""",180,176:07:00,3,2,6,35,17,24,1,3,11:56,164:11:00,6,60,5.71,0,0,0,0,0:00,1,-3,5,267,10:21,9:39,0:00,0:42,,,,,,,,,,,,,,,,,,,,
8474184,20112012,Keaton Ellerby,D,22,"6' 5""",220,615:31:00,5,0,10,45,40,80,0,0,3:44,576:31:00,10,0,0,0,0,0,0,35:16:00,75,-3,5,843,15:23,14:24,0:52,0:05,,,,,,,,,,,,,,,,,,,,
8474520,20112012,Jason Garrison,D,26,"6' 1""",218,1824:50:00,17,16,32,168,77,127,9,12,194:21:00,1432:07:00,32,50,9.52,3,0,0,1,198:22:00,124,6,33,2226,23:41,18:35,2:34,2:31,,,,,,,,,,,,,,,,,,,,
8474606,20112012,Colby Robak,D,20,"6' 3""",194,37:42:00,0,0,0,1,3,1,0,0,1:10,36:32:00,0,0,0,0,0,0,0,0:00,2,1,0,52,12:34,12:10,0:00,0:23,,,,,,,,,,,,,,,,,,,,
8475179,20112012,Dmitry Kulikov,D,20,"6' 1""",201,1267:38:00,24,4,36,104,58,104,2,10,165:04:00,1042:06:00,36,0,3.85,1,0,0,0,60:28:00,74,-5,28,1588,21:51,17:58,1:02,2:50,,,,,,,,,,,,,,,,,,,,
8475790,20112012,Erik Gudbranson,D,19,"6' 5""",222,1022:15:00,6,2,78,76,72,154,0,1,35:57:00,964:17:00,78,0,2.63,0,0,0,0,22:01,73,-19,8,1452,14:11,13:23,0:18,0:29,,,,,,,,,,,,,,,,,,,,
8460535,20112012,Jose Theodore,G,34,"5' 11""",172,3049:27:00,,,,,53,,,,,,,,,,,,,,,,,,57:32:00,,,,11,3,22,16,1377,195,29,1153,32,1242,228,0.916778,2.45946,51,1502,125,85.52631579,90.625,92.83413849,
8466339,20112012,Scott Clemmensen,G,33,"6' 2""",200,1565:52:00,,,,,30,,,,,,,,,,,,,,,,,,52:11:00,,,,6,1,14,6,706,78,14,614,16,666,91,0.913325,2.567268,25,773,67,85.71428571,87.5,92.19219219,
8471822,20112012,Brian Foster,G,23,"6' 2""",185,4:52,,,,,1,,,,,,,,,,,,,,,,,,4:52,,,,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,,,100,
